Name	PermID	Reference	Chrom	Offsets	AvgAe	Source
mh01KK-172	MHDBM-d5a744a2	GRCh38	chr1	1551453,1551522,1551678	2.6731	ALFRED
mh01USC-1pA	MHDBM-b44cecf4	GRCh38	chr1	1594569,1594598,1594613,1594617		10.1016/j.fsigen.2019.102213
mh01KK-001	MHDBM-a9f4dcdb	GRCh38	chr1	3826567,3826754,3826785,3826826	3.1300	ALFRED
mh01KK-106	MHDBM-af04b293	GRCh38	chr1	4167403,4167500,4167563,4167573	2.5802	ALFRED
mh01KK-070	MHDBM-880ee42f	GRCh38	chr1	11794399,11794418	1.8063	ALFRED
mh01CP-007	MHDBM-e3b668ed	GRCh38	chr1	12788891,12788904,12788907	2.5194	ALFRED
mh01CP-008	MHDBM-654c8337	GRCh38	chr1	14503432,14503434,14503448	2.4662	ALFRED
mh01NH-01	MHDBM-b23c6598	GRCh38	chr1	17072257,17072295,17072353		10.1016/j.legalmed.2015.06.003
mh01NH-02	MHDBM-f3e32a4c	GRCh38	chr1	17095427,17095460,17095515		10.1016/j.legalmed.2015.06.003
mh01KK-205	MHDBM-1f7eaca2	GRCh38	chr1	18396197,18396218,18396306,18396351	3.8190	ALFRED
mh01AT-02	MHDBM-6ba6d44e	GRCh38	chr1	18396306,18396351	2.5385	ISFG2019:P597
mh01KK-210	MHDBM-f9d95c20	GRCh38	chr1	22815857,22816002	2.1627	ALFRED
mh01USC-1pB	MHDBM-6f2b4d60	GRCh38	chr1	53116633,53116648,53116652		10.1016/j.fsigen.2019.102213
mh01CP-016	MHDBM-021e569a	GRCh38	chr1	55559012,55559050,55559056	2.8691	ALFRED
mh01CP-012	MHDBM-d80c4757	GRCh38	chr1	60999611,60999616,60999641	2.7834	ALFRED
mh01KK-072	MHDBM-b4474a01	GRCh38	chr1	75723759,75723802	1.7646	ALFRED
mh01USC-1pC	MHDBM-78b9c617	GRCh38	chr1	80236360,80236417,80236441		10.1016/j.fsigen.2019.102213
mh01CP-010	MHDBM-0f0a7cd6	GRCh38	chr1	85240117,85240130,85240139	2.6481	10.1016/j.fsigen.2019.02.018
mh01USC-1pD	MHDBM-8098d345	GRCh38	chr1	106227453,106227475,106227487		10.1016/j.fsigen.2019.102213
mh01KK-211	MHDBM-6adc547b	GRCh38	chr1	161985865,161985967,161986013	2.2209	ALFRED
mh01AT-03	MHDBM-be82bac2	GRCh38	chr1	161985967,161985984,161986013	2.3160	ISFG2019:P597
mh01USC-1qA	MHDBM-f218f0ad	GRCh38	chr1	167157730,167157749		10.1016/j.fsigen.2019.102213
mh01NH-03	MHDBM-e7a95c5e	GRCh38	chr1	184807944,184807966,184808042	2.3711	10.1016/j.legalmed.2015.06.003
mh01USC-1qB	MHDBM-e1cd790f	GRCh38	chr1	187653277,187653299,187653303,187653347		10.1016/j.fsigen.2019.102213
mh01USC-1qC	MHDBM-532fb9eb	GRCh38	chr1	201985639,201985672,201985678		10.1016/j.fsigen.2019.102213
mh01KK-117	MHDBM-39dc025f	GRCh38	chr1	204664211,204664268,204664371,204664397	3.9330	ALFRED
mh01KK-002	MHDBM-06c845ac	GRCh38	chr1	216461085,216461102	2.6216	ALFRED
mh01NK-001	MHDBM-47c3e27c	GRCh38	chr1	230684604,230684831,230684858,230684883	3.0188	ALFRED
mh01NH-04	MHDBM-0f7da26c	GRCh38	chr1	230684831,230684858,230684883	3.4381	10.1016/j.legalmed.2015.06.003
mh01AT-04	MHDBM-0f7da26c	GRCh38	chr1	230684831,230684858,230684883	3.0124	ISFG2019:P597
mh01KK-135	MHDBM-70300fc8	GRCh38	chr1	234206032,234206320	2.0162	ALFRED
mh01USC-1qD	MHDBM-20d6c206	GRCh38	chr1	235603659,235603670,235603675		10.1016/j.fsigen.2019.102213
mh02CP-004	MHDBM-93f8bfc4	GRCh38	chr2	7112049,7112052,7112077	3.0759	ALFRED
mh02USC-2pA	MHDBM-1734fe04	GRCh38	chr2	10810991,10811035,10811042,10811069		10.1016/j.fsigen.2019.102213
mh02LV-08	MHDBM-7b891c73	GRCh38	chr2	28567654,28567659,28567662,28567673,28567678,28567685,28567689,28567692,28567695,28567696,28567704,28567713,28567739,28567816,28567817,28567820,28567824,28567843		10.1016/j.fsigen.2018.05.001
mh02NH-05	MHDBM-400c355b	GRCh38	chr2	30966369,30966437,30966478,30966534		10.1016/j.legalmed.2015.06.003
mh02USC-2pB	MHDBM-92018504	GRCh38	chr2	45236329,45236347,45236397		10.1016/j.fsigen.2019.102213
mh02KK-138	MHDBM-bc9ea531	GRCh38	chr2	45964843,45964877,45964938,45964952,45965051,45965091	3.3914	ALFRED
mh02KK-073	MHDBM-2885ae1f	GRCh38	chr2	46359894,46359957	2.3270	ALFRED
mh02USC-2pC	MHDBM-fbf0d379	GRCh38	chr2	79025823,79025835,79025901,79025902		10.1016/j.fsigen.2019.102213
mh02KK-105	MHDBM-f60628c8	GRCh38	chr2	96700565,96700586	2.0219	ALFRED
mh02KK-131	MHDBM-abe94175	GRCh38	chr2	97748700,97748786	1.8791	ALFRED
mh02KK-213	MHDBM-3697ccfe	GRCh38	chr2	100480397,100480409,100480497	2.3654	ALFRED
mh02USC-2qA	MHDBM-6443f01d	GRCh38	chr2	102476043,102476053,102476115,102476124		10.1016/j.fsigen.2019.102213
mh02KK-202	MHDBM-e29a3977	GRCh38	chr2	107031716,107031855	1.9618	ALFRED
mh02KK-139	MHDBM-b19d2e01	GRCh38	chr2	108897144,108897197	1.5870	ALFRED
mh02KK-102	MHDBM-4a6b420c	GRCh38	chr2	108897599,108897648,108897735	1.6369	ALFRED
mh02KK-003	MHDBM-13b749ff	GRCh38	chr2	108969856,108969914,108969980	1.8777	ALFRED
mh02KK-004	MHDBM-652d62eb	GRCh38	chr2	118985034,118985127,118985288	2.5519	ALFRED
mh02KK-215	MHDBM-501ac44d	GRCh38	chr2	136060045,136060087	2.3145	ALFRED
mh02USC-2qB	MHDBM-4c590dd3	GRCh38	chr2	137845753,137845766,137845786		10.1016/j.fsigen.2019.102213
mh02KK-201	MHDBM-39f1774b	GRCh38	chr2	144995598,144995712	2.1714	ALFRED
mh02KK-005	MHDBM-92520b40	GRCh38	chr2	149097582,149097738	2.3970	ALFRED
mh02KK-134	MHDBM-daea3d38	GRCh38	chr2	160222899,160222923,160222938,160223002	4.5374	ALFRED
mh02AT-05	MHDBM-c3feaba8	GRCh38	chr2	160222899,160222923,160222938	5.1944	ISFG2019:P597
mh02USC-2qC	MHDBM-da8a7daf	GRCh38	chr2	168160894,168160925,168160949		10.1016/j.fsigen.2019.102213
mh02LV-05	MHDBM-d5e37dff	GRCh38	chr2	173420586,173420600,173420616,173420625,173420627,173420633,173420649,173420650,173420667,173420671,173420687,173420717,173420724,173420732,173420752,173420753,173420773,173420782,173420786,173420788,173420836,173420910		10.1016/j.fsigen.2018.05.001
mh02USC-2qD	MHDBM-735c6a59	GRCh38	chr2	205957895,205957903,205957915		10.1016/j.fsigen.2019.102213
mh02NH-06	MHDBM-ad7dc942	GRCh38	chr2	227052523,227052553,227052606		10.1016/j.legalmed.2015.06.003
mh02KK-136	MHDBM-eb83984f	GRCh38	chr2	227227672,227227689,227227742	3.7742	ALFRED
mh02AT-07	MHDBM-eb83984f	GRCh38	chr2	227227672,227227689,227227742	4.2993	ISFG2019:P597
mh02USC-2qE	MHDBM-1e1cbc66	GRCh38	chr2	240602474,240602493,240602497		10.1016/j.fsigen.2019.102213
mh03LV-01	MHDBM-75964bf2	GRCh38	chr3	4567469,4567490,4567512,4567525,4567535,4567539,4567561,4567571,4567590,4567592,4567611,4567616,4567623,4567628,4567645,4567663,4567722,4567742,4567746,4567748,4567751,4567789		10.1016/j.fsigen.2018.05.001
mh03USC-3pA	MHDBM-19bcf279	GRCh38	chr3	5492729,5492767,5492772,5492797		10.1016/j.fsigen.2019.102213
mh03LV-07	MHDBM-5f7e29b6	GRCh38	chr3	5783508,5783509,5783518,5783523,5783525,5783531,5783541,5783542,5783543,5783544,5783552,5783562,5783564,5783571,5783577,5783607,5783608,5783611,5783612,5783617,5783618,5783619,5783623,5783626,5783635,5783648,5783652,5783653,5783663,5783664,5783671,5783672,5783673,5783676,5783677,5783678,5783681,5783684,5783687,5783695,5783704,5783705		10.1016/j.fsigen.2018.05.001
